GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1400000US44003021200,44003021200,"Census Tract 212, Kent County, Rhode Island",3535,228,138,124,157,82,340,233,95,80,360,174,60,57,2385,340
1400000US44003021300,44003021300,"Census Tract 213, Kent County, Rhode Island",4621,381,195,145,78,46,45,47,201,130,114,83,61,98,3927,415
1400000US44003021401,44003021401,"Census Tract 214.01, Kent County, Rhode Island",4139,242,57,50,117,100,65,66,390,261,207,190,169,131,3134,289
1400000US44003021402,44003021402,"Census Tract 214.02, Kent County, Rhode Island",3659,261,96,54,178,116,128,131,90,76,184,145,9,14,2974,297
1400000US44003021501,44003021501,"Census Tract 215.01, Kent County, Rhode Island",2788,265,41,50,306,171,77,65,173,121,115,90,20,23,2056,306
1400000US44003021502,44003021502,"Census Tract 215.02, Kent County, Rhode Island",4169,253,241,186,193,123,71,56,260,182,155,110,0,13,3249,363
1400000US44003021600,44003021600,"Census Tract 216, Kent County, Rhode Island",1540,137,28,30,23,23,0,13,8,10,43,48,4,7,1434,162
1400000US44003021700,44003021700,"Census Tract 217, Kent County, Rhode Island",4937,550,182,135,339,205,298,233,300,283,121,90,176,159,3521,614
1400000US44003021800,44003021800,"Census Tract 218, Kent County, Rhode Island",4051,237,69,58,168,71,142,141,107,78,51,40,122,93,3392,266
1400000US44003021901,44003021901,"Census Tract 219.01, Kent County, Rhode Island",3812,254,0,13,66,47,62,59,198,156,291,213,34,42,3161,315
