GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1000000US440070001022006,440070001022006,"Block 2006, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",31
1000000US440070001022007,440070001022007,"Block 2007, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022008,440070001022008,"Block 2008, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022009,440070001022009,"Block 2009, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022010,440070001022010,"Block 2010, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022011,440070001022011,"Block 2011, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022012,440070001022012,"Block 2012, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022013,440070001022013,"Block 2013, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022014,440070001022014,"Block 2014, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022015,440070001022015,"Block 2015, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",19
1000000US440070001022016,440070001022016,"Block 2016, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022017,440070001022017,"Block 2017, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",17
1000000US440070001022018,440070001022018,"Block 2018, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022019,440070001022019,"Block 2019, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022020,440070001022020,"Block 2020, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",33
1000000US440070001022021,440070001022021,"Block 2021, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022022,440070001022022,"Block 2022, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022023,440070001022023,"Block 2023, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022024,440070001022024,"Block 2024, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
1000000US440070001022025,440070001022025,"Block 2025, Block Group 2, Census Tract 1.02, Providence County, Rhode Island",0
