GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
1400000US44007014501,44007014501,"Census Tract 145.01, Providence County, Rhode Island",110676,10264
1400000US44007014502,44007014502,"Census Tract 145.02, Providence County, Rhode Island",54194,4974
1400000US44007014600,44007014600,"Census Tract 146, Providence County, Rhode Island",101442,13329
1400000US44007014700,44007014700,"Census Tract 147, Providence County, Rhode Island",38038,7204
1400000US44007014800,44007014800,"Census Tract 148, Providence County, Rhode Island",49918,10776
1400000US44007015000,44007015000,"Census Tract 150, Providence County, Rhode Island",39719,8155
1400000US44007015100,44007015100,"Census Tract 151, Providence County, Rhode Island",23118,4286
1400000US44007015200,44007015200,"Census Tract 152, Providence County, Rhode Island",10820,1957
1400000US44007015300,44007015300,"Census Tract 153, Providence County, Rhode Island",35160,13675
1400000US44007015400,44007015400,"Census Tract 154, Providence County, Rhode Island",36212,11835
1400000US44007015500,44007015500,"Census Tract 155, Providence County, Rhode Island",46500,4781
1400000US44007015600,44007015600,"Census Tract 156, Providence County, Rhode Island",50966,6662
1400000US44007015700,44007015700,"Census Tract 157, Providence County, Rhode Island",48969,11903
1400000US44007015800,44007015800,"Census Tract 158, Providence County, Rhode Island",55294,11285
1400000US44007015900,44007015900,"Census Tract 159, Providence County, Rhode Island",54028,10823
1400000US44007016000,44007016000,"Census Tract 160, Providence County, Rhode Island",31660,4642
1400000US44007016100,44007016100,"Census Tract 161, Providence County, Rhode Island",30704,7417
1400000US44007016300,44007016300,"Census Tract 163, Providence County, Rhode Island",56779,18152
1400000US44007016400,44007016400,"Census Tract 164, Providence County, Rhode Island",30514,4573
1400000US44007016500,44007016500,"Census Tract 165, Providence County, Rhode Island",54143,6167
1400000US44007016600,44007016600,"Census Tract 166, Providence County, Rhode Island",32904,5052
1400000US44007016700,44007016700,"Census Tract 167, Providence County, Rhode Island",31565,2607
1400000US44007016800,44007016800,"Census Tract 168, Providence County, Rhode Island",60833,8345
1400000US44007016900,44007016900,"Census Tract 169, Providence County, Rhode Island",72734,12557
1400000US44007017000,44007017000,"Census Tract 170, Providence County, Rhode Island",54844,5644
1400000US44007017100,44007017100,"Census Tract 171, Providence County, Rhode Island",32917,4856
1400000US44007017300,44007017300,"Census Tract 173, Providence County, Rhode Island",53639,4480
1400000US44007017400,44007017400,"Census Tract 174, Providence County, Rhode Island",26029,10266
1400000US44007017500,44007017500,"Census Tract 175, Providence County, Rhode Island",48022,5692
1400000US44007017600,44007017600,"Census Tract 176, Providence County, Rhode Island",37353,6961
1400000US44007017700,44007017700,"Census Tract 177, Providence County, Rhode Island",50616,6096
1400000US44007017800,44007017800,"Census Tract 178, Providence County, Rhode Island",42545,18653
1400000US44007017900,44007017900,"Census Tract 179, Providence County, Rhode Island",25054,9950
1400000US44007018000,44007018000,"Census Tract 180, Providence County, Rhode Island",16188,1210
